Timestamp,Mode,Knee_Angle,Trunk_Angle,Quad_Force_N,Status
14:28:56,sitting,169.6,5.2,1591.6,Ошибка: Угол ног в кресле
14:28:56,sitting,173.5,5.4,1521.9,Ошибка: Угол ног в кресле
14:28:56,sitting,176.7,5.2,1465.9,Ошибка: Угол ног в кресле
14:28:56,sitting,178.4,5.0,1435.3,Ошибка: Угол ног в кресле
14:28:56,sitting,178.8,3.7,1429.1,Ошибка: Угол ног в кресле
14:28:56,sitting,178.0,3.8,1443.4,Ошибка: Угол ног в кресле
14:28:56,sitting,176.9,3.9,1462.2,Ошибка: Угол ног в кресле
14:28:56,sitting,176.2,4.4,1474.8,Ошибка: Угол ног в кресле
14:28:56,sitting,175.4,4.2,1489.2,Ошибка: Угол ног в кресле
14:28:56,sitting,175.1,4.8,1495.0,Ошибка: Угол ног в кресле
14:28:56,sitting,176.0,5.1,1478.9,Ошибка: Угол ног в кресле
14:28:56,sitting,177.0,5.3,1460.7,Ошибка: Угол ног в кресле
14:28:56,sitting,178.0,5.4,1443.0,Ошибка: Угол ног в кресле
14:28:56,sitting,179.0,5.4,1426.4,Ошибка: Угол ног в кресле
14:28:56,sitting,179.6,5.3,1415.7,Ошибка: Угол ног в кресле
14:28:56,sitting,179.7,5.4,1412.6,Ошибка: Угол ног в кресле
14:28:57,sitting,179.7,5.6,1414.0,Ошибка: Угол ног в кресле
14:28:57,sitting,178.9,5.2,1427.1,Ошибка: Угол ног в кресле
14:28:57,sitting,178.1,4.8,1442.2,Ошибка: Угол ног в кресле
14:28:57,sitting,177.4,4.8,1452.9,Ошибка: Угол ног в кресле
14:28:57,sitting,176.5,4.8,1469.6,Ошибка: Угол ног в кресле
14:28:57,sitting,175.5,5.0,1486.5,Ошибка: Угол ног в кресле
14:28:57,sitting,175.2,4.8,1492.0,Ошибка: Угол ног в кресле
14:28:57,sitting,170.9,3.4,1567.4,Ошибка: Угол ног в кресле
14:28:57,sitting,166.7,2.3,1642.5,Ошибка: Угол ног в кресле
14:28:57,sitting,161.7,3.0,1730.6,Ошибка: Угол ног в кресле
14:28:57,sitting,156.8,3.8,1704.2,Ошибка: Угол ног в кресле
14:28:57,sitting,149.8,3.1,1580.0,Ошибка: Угол ног в кресле
14:28:57,sitting,144.9,2.8,1494.9,Ошибка: Угол ног в кресле
14:28:57,sitting,139.3,2.7,1395.4,Ошибка: Угол ног в кресле
14:28:57,sitting,133.1,2.3,1286.3,Ошибка: Угол ног в кресле
14:28:57,sitting,126.7,2.2,1174.6,Ошибка: Угол ног в кресле
14:28:57,sitting,120.1,2.3,1058.6,Ошибка: Угол ног в кресле
14:28:57,sitting,116.8,2.4,999.4,Ошибка: Угол ног в кресле
14:28:57,sitting,114.5,2.1,958.8,Посадка в норме
14:28:57,sitting,115.2,2.4,971.0,Ошибка: Угол ног в кресле
14:28:57,sitting,115.7,2.5,979.9,Ошибка: Угол ног в кресле
14:28:57,sitting,118.9,2.6,1037.0,Ошибка: Угол ног в кресле
14:28:58,sitting,120.5,3.9,1064.7,Ошибка: Угол ног в кресле
14:28:58,sitting,118.6,3.9,1031.3,Ошибка: Угол ног в кресле
14:28:58,sitting,116.3,3.9,990.6,Ошибка: Угол ног в кресле
14:28:58,sitting,108.1,4.0,847.2,Посадка в норме
14:28:58,sitting,102.5,4.2,747.6,Посадка в норме
14:28:58,sitting,96.0,4.1,633.4,Посадка в норме
14:28:58,sitting,93.4,4.3,588.6,Посадка в норме
14:28:58,sitting,88.9,4.4,507.8,Посадка в норме
14:28:58,sitting,91.3,4.4,550.8,Посадка в норме
14:28:58,sitting,92.6,4.6,574.6,Посадка в норме
14:28:58,sitting,98.1,4.8,669.8,Посадка в норме
14:28:58,sitting,102.2,4.6,743.2,Посадка в норме
14:28:58,sitting,107.2,4.5,830.5,Посадка в норме
14:28:58,sitting,107.5,4.5,835.4,Посадка в норме
14:28:58,sitting,106.1,4.6,810.8,Посадка в норме
14:28:58,sitting,99.4,4.3,693.9,Посадка в норме
14:28:58,sitting,90.0,4.1,527.4,Посадка в норме
14:28:58,sitting,79.2,4.1,352.0,Посадка в норме
